date,declining_count,total_count,source
2024-01-02,1700,5300,synthetic-fixture-NOT-real-market
2024-01-03,1701,5300,synthetic-fixture-NOT-real-market
2024-01-04,1702,5300,synthetic-fixture-NOT-real-market
2024-01-05,1703,5300,synthetic-fixture-NOT-real-market
2024-01-08,1704,5300,synthetic-fixture-NOT-real-market
2024-01-09,1705,5300,synthetic-fixture-NOT-real-market
2024-01-10,1706,5300,synthetic-fixture-NOT-real-market
2024-01-11,1707,5300,synthetic-fixture-NOT-real-market
2024-01-12,1708,5300,synthetic-fixture-NOT-real-market
2024-01-15,1709,5300,synthetic-fixture-NOT-real-market
2024-01-16,1710,5300,synthetic-fixture-NOT-real-market
2024-01-17,1711,5300,synthetic-fixture-NOT-real-market
2024-01-18,1712,5300,synthetic-fixture-NOT-real-market
2024-01-19,1713,5300,synthetic-fixture-NOT-real-market
2024-01-22,1714,5300,synthetic-fixture-NOT-real-market
2024-01-23,1715,5300,synthetic-fixture-NOT-real-market
2024-01-24,1716,5300,synthetic-fixture-NOT-real-market
2024-01-25,1717,5300,synthetic-fixture-NOT-real-market
2024-01-26,1718,5300,synthetic-fixture-NOT-real-market
2024-01-29,1719,5300,synthetic-fixture-NOT-real-market
2024-01-30,1720,5300,synthetic-fixture-NOT-real-market
2024-01-31,1721,5300,synthetic-fixture-NOT-real-market
2024-02-01,1722,5300,synthetic-fixture-NOT-real-market
2024-02-02,1723,5300,synthetic-fixture-NOT-real-market
2024-02-05,1724,5300,synthetic-fixture-NOT-real-market
2024-02-06,4300,5300,synthetic-fixture-NOT-real-market
2024-02-07,1726,5300,synthetic-fixture-NOT-real-market
2024-02-08,1727,5300,synthetic-fixture-NOT-real-market
2024-02-09,1728,5300,synthetic-fixture-NOT-real-market
2024-02-12,1729,5300,synthetic-fixture-NOT-real-market
2024-02-13,1730,5300,synthetic-fixture-NOT-real-market
2024-02-14,1731,5300,synthetic-fixture-NOT-real-market
2024-02-15,1732,5300,synthetic-fixture-NOT-real-market
2024-02-16,1733,5300,synthetic-fixture-NOT-real-market
2024-02-19,1734,5300,synthetic-fixture-NOT-real-market
2024-02-20,1735,5300,synthetic-fixture-NOT-real-market
2024-02-21,1736,5300,synthetic-fixture-NOT-real-market
2024-02-22,1737,5300,synthetic-fixture-NOT-real-market
2024-02-23,4300,5300,synthetic-fixture-NOT-real-market
2024-02-26,1739,5300,synthetic-fixture-NOT-real-market
2024-02-27,1740,5300,synthetic-fixture-NOT-real-market
2024-02-28,1741,5300,synthetic-fixture-NOT-real-market
2024-02-29,4200,5300,synthetic-fixture-NOT-real-market
2024-03-01,1743,5300,synthetic-fixture-NOT-real-market
2024-03-04,1744,5300,synthetic-fixture-NOT-real-market
2024-03-05,1745,5300,synthetic-fixture-NOT-real-market
2024-03-06,1746,5300,synthetic-fixture-NOT-real-market
2024-03-07,1747,5300,synthetic-fixture-NOT-real-market
2024-03-08,1748,5300,synthetic-fixture-NOT-real-market
2024-03-11,1749,5300,synthetic-fixture-NOT-real-market
2024-03-12,1750,5300,synthetic-fixture-NOT-real-market
2024-03-13,1751,5300,synthetic-fixture-NOT-real-market
2024-03-14,1752,5300,synthetic-fixture-NOT-real-market
2024-03-15,4300,5300,synthetic-fixture-NOT-real-market
2024-03-18,1754,5300,synthetic-fixture-NOT-real-market
2024-03-19,1755,5300,synthetic-fixture-NOT-real-market
2024-03-20,1756,5300,synthetic-fixture-NOT-real-market
2024-03-21,1757,5300,synthetic-fixture-NOT-real-market
2024-03-22,1758,5300,synthetic-fixture-NOT-real-market
2024-03-25,1759,5300,synthetic-fixture-NOT-real-market
2024-03-26,1760,5300,synthetic-fixture-NOT-real-market
2024-03-27,1761,5300,synthetic-fixture-NOT-real-market
2024-03-28,1762,5300,synthetic-fixture-NOT-real-market
2024-03-29,1763,5300,synthetic-fixture-NOT-real-market
2024-04-01,1764,5300,synthetic-fixture-NOT-real-market
2024-04-02,1765,5300,synthetic-fixture-NOT-real-market
2024-04-03,1766,5300,synthetic-fixture-NOT-real-market
2024-04-04,4300,5300,synthetic-fixture-NOT-real-market
2024-04-05,1768,5300,synthetic-fixture-NOT-real-market
2024-04-08,1769,5300,synthetic-fixture-NOT-real-market
2024-04-09,1770,5300,synthetic-fixture-NOT-real-market
2024-04-10,1771,5300,synthetic-fixture-NOT-real-market
2024-04-11,1772,5300,synthetic-fixture-NOT-real-market
2024-04-12,1773,5300,synthetic-fixture-NOT-real-market
2024-04-15,1774,5300,synthetic-fixture-NOT-real-market
2024-04-16,1775,5300,synthetic-fixture-NOT-real-market
2024-04-17,1776,5300,synthetic-fixture-NOT-real-market
2024-04-18,1777,5300,synthetic-fixture-NOT-real-market
2024-04-19,1778,5300,synthetic-fixture-NOT-real-market
2024-04-22,1779,5300,synthetic-fixture-NOT-real-market
2024-04-23,4300,5300,synthetic-fixture-NOT-real-market
2024-04-24,1781,5300,synthetic-fixture-NOT-real-market
2024-04-25,1782,5300,synthetic-fixture-NOT-real-market
2024-04-26,1783,5300,synthetic-fixture-NOT-real-market
2024-04-29,1784,5300,synthetic-fixture-NOT-real-market
2024-04-30,1785,5300,synthetic-fixture-NOT-real-market
2024-05-01,1786,5300,synthetic-fixture-NOT-real-market
2024-05-02,1787,5300,synthetic-fixture-NOT-real-market
2024-05-03,1788,5300,synthetic-fixture-NOT-real-market
2024-05-06,1789,5300,synthetic-fixture-NOT-real-market
