date,symbol,open,high,low,close,volume,amount,is_suspended,limit_up,limit_down
2026-08-01,000001.SH,4000,4010,3990,4005,1000000,4000000000,0,0,0
2026-08-01,588000.SH,1.00,1.05,0.98,1.02,2000000,2040000,0,0,0
2026-08-01,600000.SH,2.00,2.05,1.98,2.02,1800000,3636000,0,0,0
2026-08-02,000001.SH,4005,4020,3995,4010,1100000,4411000000,0,0,0
2026-08-02,588000.SH,1.02,1.08,1.01,1.06,2500000,2650000,0,0,0
2026-08-02,600000.SH,2.02,2.08,2.00,2.04,1900000,3876000,0,0,0
2026-08-03,000001.SH,4010,4020,3998,4008,1200000,4809600000,0,0,0
2026-08-03,588000.SH,1.06,1.08,1.00,1.01,2600000,2626000,0,0,0
2026-08-03,600000.SH,2.04,2.06,2.00,2.01,2000000,4020000,0,0,0
2026-08-04,000001.SH,4008,4020,4000,4015,1250000,5018750000,0,0,0
2026-08-04,588000.SH,1.01,1.05,1.00,1.03,2800000,2884000,0,0,0
2026-08-04,600000.SH,2.01,2.12,2.00,2.10,2200000,4620000,0,0,0
2026-08-05,000001.SH,4015,4020,4005,4012,1300000,5215600000,0,0,0
2026-08-05,588000.SH,1.03,1.06,1.02,1.04,2900000,3016000,0,0,0
2026-08-05,600000.SH,2.10,2.12,2.04,2.08,2100000,4368000,0,0,0
2026-08-06,000001.SH,4012,4030,4010,4020,1350000,5427000000,0,0,0
2026-08-06,588000.SH,1.04,1.07,1.03,1.05,3000000,3150000,0,0,0
2026-08-06,600000.SH,2.08,2.15,2.06,2.12,2300000,4876000,0,0,0
